Position,"Track Name",Artist,Streams,URL
111,"Needed Me",Rihanna,223205,https://open.spotify.com/track/1Tt4sE4pXi57mTD1GCzsqm
112,"Come and See Me (feat. Drake)",PARTYNEXTDOOR,222717,https://open.spotify.com/track/1wZqJM5FGDEl3FjHDxDyQd
113,Exchange,"Bryson Tiller",219390,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN
114,"Gassed Up","Nebu Kiniza",219357,https://open.spotify.com/track/6JjEVlMkfHWMeYavkEYzNO
115,"Go Flex","Post Malone",219217,https://open.spotify.com/track/5yuShbu70mtHXY0yLzCQLQ
116,Thumbs,"Sabrina Carpenter",219009,https://open.spotify.com/track/3UjJP4ludb74a29P5EHEIo
117,Controlla,Drake,218811,https://open.spotify.com/track/6F609ICg9Spjrw1epsAnpa
118,Mercy,"Shawn Mendes",218733,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a
119,"Don't Let Me Down","The Chainsmokers",218667,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
120,Don't,"Bryson Tiller",217979,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC
121,"Running Back (feat. Lil Wayne)",Wale,215558,https://open.spotify.com/track/2h3i5tGUl6hMu572umjcGo
122,"Money Longer","Lil Uzi Vert",212311,https://open.spotify.com/track/0B8QzDH7YWih85V5SEMnyJ
123,"beibs in the trap","Travis Scott",207889,https://open.spotify.com/track/0ESJlaM8CE1jRWaNtwSNj8
124,"Used to This",Future,207009,https://open.spotify.com/track/78sr3ogs4UzITcCNbXM9cM
125,"No Flockin","Kodak Black",206263,https://open.spotify.com/track/34oWbFBfGEElvgO0a5c9V4
126,Party,"Chris Brown",206193,https://open.spotify.com/track/05Z7jet4VDNVgNQWcYHnrk
127,"Juke Jam (feat. Justin Bieber & Towkio)","Chance The Rapper",205879,https://open.spotify.com/track/3eze1OsZ1rqeXkKStNfTmi
128,"Scars To Your Beautiful","Alessia Cara",205559,https://open.spotify.com/track/0prNGof3XqfTvNDxHonvdK
129,Damage,Future,205413,https://open.spotify.com/track/7y06b4wdIvUa5mEiEClTA3
130,Ride,"Twenty One Pilots",204884,https://open.spotify.com/track/2Z8WuEywRWYTKe1NybPQEW
131,"I Would Like","Zara Larsson",204784,https://open.spotify.com/track/4Q4jmPHwu0wrJvqrld0FQ6
132,Panda,Desiigner,204571,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
133,Neighbors,"J. Cole",202994,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy
134,"Shed a Light","Robin Schulz",202936,https://open.spotify.com/track/1cG0umU5TKStygKsPFZ9pY
135,"Lights Down Low",MAX,202881,https://open.spotify.com/track/1sYSP7gKa5kdKIfhANfori
