,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Body Party,0.0143,0.5770000000000001,234040,0.5760000000000001,0.0,2,0.602,-6.2989999999999995,0.0563,133.97299999999998,4,0.12,1
Boo'd Up,0.095,0.48100000000000004,256064,0.79,0.0,10,0.0802,-5.189,0.0606,81.939,4,0.24,1
Boom Clap,0.154,0.659,169866,0.9109999999999999,0.000304,4,0.191,-2.28,0.0786,91.999,4,0.5760000000000001,1
Bottoms Up,0.14300000000000002,0.479,220199,0.87,0.0,7,0.129,-5.739,0.0442,170.047,4,0.537,1
Bounce Back,0.105,0.77,222360,0.5670000000000001,0.0,2,0.125,-5.6979999999999995,0.175,81.477,4,0.26,1
Boys 'round Here,0.251,0.611,288760,0.688,2.35e-06,2,0.248,-6.369,0.0529,169.895,4,0.649,1
Brave,0.00502,0.551,220573,0.836,2.1e-05,10,0.0425,-3.838,0.0524,185.063,4,0.758,1
Break Free,0.0064,0.687,214840,0.7020000000000001,4.35e-05,7,0.204,-5.324,0.0455,129.95600000000002,4,0.284,1
Break My Bank,0.0202,0.742,177253,0.762,0.0,8,0.0921,-4.043,0.0575,91.009,4,0.36700000000000005,1
Break Your Heart,0.00232,0.6629999999999999,186267,0.892,0.0,8,0.115,-4.7589999999999995,0.0287,122.025,4,0.625,1
Bugatti,0.0168,0.607,269267,0.589,0.0,1,0.0855,-4.928999999999999,0.0542,130.431,4,0.069,1
Burn,0.0364,0.45399999999999996,212374,0.66,0.0,0,0.18100000000000002,-4.357,0.168,184.35299999999998,4,0.568,1
California Gurls,0.00446,0.7909999999999999,234653,0.754,0.0,0,0.163,-3.7289999999999996,0.0569,125.014,4,0.425,1
California King Bed,0.24600000000000002,0.469,251600,0.616,0.0,7,0.138,-3.841,0.0369,169.878,4,0.341,1
Call Me Maybe,0.0123,0.778,193400,0.585,0.0,7,0.10800000000000001,-6.502000000000001,0.0435,120.069,4,0.626,1
Came Here To Forget,0.35600000000000004,0.613,220413,0.667,1.29e-05,1,0.111,-6.874,0.028999999999999998,130.023,4,0.48100000000000004,1
Can't Feel My Face,0.109,0.711,213520,0.7829999999999999,0.0,9,0.0947,-5.407,0.0423,107.97200000000001,4,0.5870000000000001,1
Can't Get Enough,0.187,0.483,219427,0.648,0.0,0,0.0812,-8.651,0.327,93.939,4,0.242,1
Can't Remember To Forget You,0.132,0.6970000000000001,207133,0.813,0.0,11,0.129,-3.3989999999999996,0.0679,137.976,4,0.8109999999999999,1
Carry Out,0.11699999999999999,0.478,232467,0.569,0.0669,10,0.248,-6.763999999999999,0.14800000000000002,95.988,4,0.259,1
Catch My Breath,0.0251,0.6920000000000001,250387,0.9079999999999999,0.0,9,0.0933,-5.364,0.0677,124.042,4,0.513,1
Centuries,0.004,0.385,228360,0.866,0.0,4,0.111,-2.8169999999999997,0.0697,176.014,4,0.551,1
Changes,0.883,0.669,121887,0.308,0.0,11,0.0984,-10.068,0.028999999999999998,64.934,4,0.52,1
Check It Out,0.0844,0.878,161412,0.541,5.18e-06,9,0.10099999999999999,-8.964,0.0692,156.016,4,0.67,1
Close,0.10400000000000001,0.691,193510,0.736,0.0,0,0.111,-4.993,0.0321,140.034,4,0.0395,1
Club Can't Handle Me,0.0205,0.623,232616,0.882,0.0,0,0.19399999999999998,-2.574,0.0322,127.98,4,0.525,1
Cold,0.055,0.602,185360,0.797,0.0,6,0.187,-5.084,0.0534,92.928,4,0.49200000000000005,1
Come & Get It,0.000146,0.565,181427,0.987,5.81e-06,4,0.392,-4.012,0.0698,107.954,4,0.413,1
Come Back Song,0.138,0.516,235147,0.745,0.0,9,0.114,-5.6739999999999995,0.0381,177.78099999999998,4,0.77,1
Come Over,0.637,0.6779999999999999,233000,0.899,0.0,10,0.34700000000000003,-2.937,0.048,124.944,4,0.757,1
Coming Home,0.21600000000000003,0.38299999999999995,213939,0.703,5.47e-06,4,0.131,-6.9879999999999995,0.228,88.50200000000001,4,0.57,1
Controlla,0.0962,0.747,245227,0.47700000000000004,0.0,10,0.114,-11.062000000000001,0.276,93.44,4,0.321,1
Cool For The Summer,0.00506,0.584,214740,0.614,9.7e-05,5,0.0802,-5.587000000000001,0.0363,114.075,4,0.28,1
Cop Car,0.16699999999999998,0.606,253880,0.585,0.0,0,0.0658,-6.47,0.0321,77.01,4,0.177,1
Counting Stars,0.0649,0.6629999999999999,257840,0.7140000000000001,0.0,1,0.11599999999999999,-4.944,0.038,121.99,4,0.46799999999999997,1
Craving You,0.0008990000000000001,0.607,223627,0.841,0.0,9,0.34,-3.772,0.0371,104.978,4,0.505,1
Crawl,0.17800000000000002,0.376,242012,0.723,0.0,7,0.0815,-2.951,0.046,84.146,4,0.16699999999999998,1
Crazy Girl,0.0006,0.358,200707,0.708,0.00498,4,0.281,-3.736,0.0315,150.966,3,0.22699999999999998,1
Crazy Kids,0.0141,0.742,230747,0.706,0.005679999999999999,0,0.133,-4.6,0.0433,128.03,4,0.478,1
DJ Got Us Fallin' In Love,0.03,0.6659999999999999,222160,0.878,0.0,7,0.0828,-2.85,0.0973,119.932,4,0.669,1
Dance Again,0.0159,0.792,237267,0.856,2.88e-06,11,0.0981,-5.236000000000001,0.067,127.988,4,0.7140000000000001,1
Dancin' Away With My Heart,0.221,0.5720000000000001,232973,0.6629999999999999,0.0,4,0.29100000000000004,-5.417999999999999,0.0274,140.253,4,0.455,1
Dangerous Woman,0.0499,0.672,235947,0.605,0.0,7,0.35700000000000004,-5.353,0.0378,134.015,3,0.297,1
Dark Horse,0.14,0.634,224627,0.6679999999999999,0.0,5,0.21600000000000003,-5.4879999999999995,0.0291,80.98899999999999,4,0.635,1
Daylight,0.0976,0.363,171333,0.802,0.000356,9,0.16699999999999998,-4.881,0.0394,101.31,4,0.65,1
Diamonds,0.145,0.621,211085,0.568,1.65e-06,2,0.10800000000000001,-8.795,0.0311,148.047,4,0.7240000000000001,1
Diamonds Dancing,0.157,0.512,314632,0.366,3.54e-05,1,0.111,-10.828,0.0469,136.14,4,0.18,1
Die Young,0.00498,0.711,211920,0.7,0.000125,1,0.215,-4.805,0.046,128.001,4,0.8009999999999999,1
Dirty Laundry,0.051,0.7659999999999999,165600,0.64,0.0,0,0.237,-8.899,0.0345,100.044,4,0.67,1
Do It Like Me,0.10099999999999999,0.61,195067,0.82,1.78e-06,9,0.212,-5.035,0.0332,152.091,4,0.773,1
Do You Remember,0.0278,0.8540000000000001,210307,0.664,0.0,11,0.11800000000000001,-4.88,0.085,125.84,4,0.782,1
Do You Want To Build A Snowman?,0.85,0.359,206507,0.121,0.00028,3,0.255,-15.512,0.0481,146.27100000000002,3,0.151,1
Dog Days Are Over,0.059000000000000004,0.504,251840,0.812,0.000526,7,0.11900000000000001,-5.316,0.0911,150.11,4,0.319,1
Don't Mind,0.621,0.728,217707,0.563,0.0,1,0.179,-8.052999999999999,0.134,100.01700000000001,4,0.35200000000000004,1
Don't Wanna Know,0.341,0.7759999999999999,214265,0.62,0.0,7,0.0978,-6.1979999999999995,0.067,100.025,4,0.42700000000000005,1
Don't You Worry Child,0.11199999999999999,0.612,212862,0.84,0.0,11,0.11599999999999999,-3.145,0.0509,129.042,4,0.43799999999999994,1
Dope,0.0483,0.619,240021,0.889,0.0,10,0.324,-3.108,0.21899999999999997,77.058,4,0.622,1
Down On Me,0.0436,0.6970000000000001,228453,0.5770000000000001,0.0,2,0.11,-7.653,0.127,160.035,4,0.633,1
Drive By,0.648,0.415,178587,0.616,0.0,1,0.0974,-8.009,0.205,128.088,4,0.484,1
Drunk In Love,0.00969,0.589,323480,0.621,0.0010400000000000001,5,0.18100000000000002,-6.902,0.0468,140.03,4,0.401,1
Dynamite,0.006220000000000001,0.75,203867,0.78,0.0,4,0.0263,-3.155,0.0898,119.985,4,0.8240000000000001,1
E.T.,0.18600000000000003,0.601,206453,0.59,0.0,2,0.0942,-5.001,0.0569,151.952,4,0.27399999999999997,1
Earned It (Fifty Shades Of Grey),0.40399999999999997,0.664,252227,0.371,0.0,2,0.0971,-5.959,0.0306,119.95,3,0.429,1
Eenie Meenie,0.0654,0.7170000000000001,202627,0.618,0.0,1,0.0978,-4.238,0.0325,121.225,4,0.7859999999999999,1
El Perdon (Forgiveness),0.256,0.736,206667,0.7190000000000001,0.0,8,0.0909,-3.839,0.0357,90.01299999999999,4,0.6559999999999999,1
Empire State Of Mind,0.7390000000000001,0.479,216480,0.368,4.1e-05,6,0.11800000000000001,-7.784,0.0341,92.959,4,0.142,1
Energy,0.32899999999999996,0.743,181933,0.5710000000000001,0.0,11,0.522,-8.038,0.505,172.05599999999998,4,0.5710000000000001,1
