,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Are You Gonna Kiss Me Or Not,0.039,0.485,184920,0.701,0.0,8,0.0977,-3.807,0.0288,151.94799999999998,4,0.613,0
As She's Walking Away,0.46,0.556,223840,0.655,0.0,3,0.12,-5.909,0.031,183.981,4,0.33399999999999996,0
Ask Me How I Know,0.35600000000000004,0.389,185864,0.201,0.0010400000000000001,8,0.0756,-16.998,0.0632,82.265,1,0.366,0
Ass Back Home,0.134,0.716,222213,0.838,0.0,10,0.14800000000000002,-4.289,0.0513,130.034,4,0.6459999999999999,0
Aston Martin Music,0.0128,0.575,270627,0.591,0.0,10,0.0567,-5.519,0.235,171.82299999999998,4,0.392,0
At Last,0.7070000000000001,0.171,182400,0.33,0.00381,5,0.302,-9.699,0.0329,174.43099999999998,3,0.315,0
At My Best,0.0022600000000000003,0.537,199973,0.77,0.00011999999999999999,7,0.23,-6.638,0.242,169.94799999999998,4,0.22699999999999998,0
At The Club,0.124,0.795,173054,0.6679999999999999,0.0,7,0.0739,-7.287999999999999,0.09300000000000001,92.029,4,0.37200000000000005,0
Aw Naw,0.0639,0.652,188707,0.8590000000000001,0.0,2,0.0777,-3.7460000000000004,0.0358,109.971,4,0.491,0
Ayy Ladies,0.096,0.905,211293,0.782,0.0,10,0.0623,-3.6039999999999996,0.16399999999999998,96.055,4,0.7979999999999999,0
B.E.D.,0.00505,0.73,237147,0.473,0.0,1,0.0932,-8.165,0.062,122.00299999999999,4,0.254,0
B.M.F. (Blowin' Money Fast),0.017,0.743,250307,0.86,0.0,2,0.22,-4.396,0.0549,139.967,4,0.33299999999999996,0
Baby Be My Love Song,0.0677,0.488,199747,0.7090000000000001,0.0,0,0.287,-6.063,0.046,168.05,4,0.469,0
Back In Time,0.996,0.23600000000000002,169540,0.0164,0.8690000000000001,5,0.102,-32.58,0.0854,133.171,4,0.191,0
Back Up,0.017,0.877,265600,0.71,0.0,7,0.1,-7.058,0.139,95.83200000000001,4,0.51,0
Backroad Song,0.0352,0.488,236787,0.833,0.0172,11,0.34,-6.571000000000001,0.0437,174.00599999999997,4,0.7509999999999999,0
Bad At Love,0.06,0.675,181279,0.736,0.0,0,0.0879,-3.6039999999999996,0.0302,118.369,4,0.607,0
Bad Blood,0.078,0.6809999999999999,214148,0.715,0.0,9,0.275,-6.318,0.0388,127.429,4,0.593,0
