,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Break Your Heart,0.00232,https://api.spotify.com/v1/audio-analysis/1CdqVF1ywD0ZO1zXtB9yWa,0.663,186267,0.892,1CdqVF1ywD0ZO1zXtB9yWa,0,8,0.115,-4.759,1,0.0287,122.025,4,https://api.spotify.com/v1/tracks/1CdqVF1ywD0ZO1zXtB9yWa,audio_features,spotify:track:1CdqVF1ywD0ZO1zXtB9yWa,0.625
Bugatti,0.0168,https://api.spotify.com/v1/audio-analysis/0uFvvXbmGIXlf5ZgtHyYpf,0.607,269267,0.589,0uFvvXbmGIXlf5ZgtHyYpf,0,1,0.0855,-4.929,1,0.0542,130.431,4,https://api.spotify.com/v1/tracks/0uFvvXbmGIXlf5ZgtHyYpf,audio_features,spotify:track:0uFvvXbmGIXlf5ZgtHyYpf,0.069
Burn,0.0364,https://api.spotify.com/v1/audio-analysis/2HaYSyjZmqhFVviYOakAth,0.454,212374,0.66,2HaYSyjZmqhFVviYOakAth,0,0,0.181,-4.357,1,0.168,184.353,4,https://api.spotify.com/v1/tracks/2HaYSyjZmqhFVviYOakAth,audio_features,spotify:track:2HaYSyjZmqhFVviYOakAth,0.568
California Gurls,0.00446,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,0.791,234653,0.754,6tS3XVuOyu10897O3ae7bi,0,0,0.163,-3.729,1,0.0569,125.014,4,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,audio_features,spotify:track:6tS3XVuOyu10897O3ae7bi,0.425
California King Bed,0.246,https://api.spotify.com/v1/audio-analysis/2dPOobBArCJotBAs0ThXqL,0.469,251600,0.616,2dPOobBArCJotBAs0ThXqL,0,7,0.138,-3.841,1,0.0369,169.878,4,https://api.spotify.com/v1/tracks/2dPOobBArCJotBAs0ThXqL,audio_features,spotify:track:2dPOobBArCJotBAs0ThXqL,0.341
Call Me Maybe,0.0123,https://api.spotify.com/v1/audio-analysis/3TGRqZ0a2l1LRblBkJoaDx,0.778,193400,0.585,3TGRqZ0a2l1LRblBkJoaDx,0,7,0.108,-6.502,1,0.0435,120.069,4,https://api.spotify.com/v1/tracks/3TGRqZ0a2l1LRblBkJoaDx,audio_features,spotify:track:3TGRqZ0a2l1LRblBkJoaDx,0.626
Came Here To Forget,0.356,https://api.spotify.com/v1/audio-analysis/1N7qGCKRRnvjoy8MGyHgpS,0.613,220413,0.667,1N7qGCKRRnvjoy8MGyHgpS,1.29e-05,1,0.111,-6.874,0,0.029,130.023,4,https://api.spotify.com/v1/tracks/1N7qGCKRRnvjoy8MGyHgpS,audio_features,spotify:track:1N7qGCKRRnvjoy8MGyHgpS,0.481
Can't Feel My Face,0.109,https://api.spotify.com/v1/audio-analysis/22VdIZQfgXJea34mQxlt81,0.711,213520,0.783,22VdIZQfgXJea34mQxlt81,0,9,0.0947,-5.407,0,0.0423,107.972,4,https://api.spotify.com/v1/tracks/22VdIZQfgXJea34mQxlt81,audio_features,spotify:track:22VdIZQfgXJea34mQxlt81,0.587
Can't Get Enough,0.187,https://api.spotify.com/v1/audio-analysis/3JA9Jsuxr4xgHXEawAdCp4,0.483,219427,0.648,3JA9Jsuxr4xgHXEawAdCp4,0,0,0.0812,-8.651,0,0.327,93.939,4,https://api.spotify.com/v1/tracks/3JA9Jsuxr4xgHXEawAdCp4,audio_features,spotify:track:3JA9Jsuxr4xgHXEawAdCp4,0.242
Can't Remember To Forget You,0.132,https://api.spotify.com/v1/audio-analysis/0BBj0SW3vef8UNzTg4lwH9,0.697,207133,0.813,0BBj0SW3vef8UNzTg4lwH9,0,11,0.129,-3.399,0,0.0679,137.976,4,https://api.spotify.com/v1/tracks/0BBj0SW3vef8UNzTg4lwH9,audio_features,spotify:track:0BBj0SW3vef8UNzTg4lwH9,0.811
Carry Out,0.117,https://api.spotify.com/v1/audio-analysis/2DHc2e5bBn4UzY0ENVFrUl,0.478,232467,0.569,2DHc2e5bBn4UzY0ENVFrUl,0.0669,10,0.248,-6.764,0,0.148,95.988,4,https://api.spotify.com/v1/tracks/2DHc2e5bBn4UzY0ENVFrUl,audio_features,spotify:track:2DHc2e5bBn4UzY0ENVFrUl,0.259
Catch My Breath,0.0251,https://api.spotify.com/v1/audio-analysis/5qxPabNDnJQ551Tf4v6k3j,0.692,250387,0.908,5qxPabNDnJQ551Tf4v6k3j,0,9,0.0933,-5.364,1,0.0677,124.042,4,https://api.spotify.com/v1/tracks/5qxPabNDnJQ551Tf4v6k3j,audio_features,spotify:track:5qxPabNDnJQ551Tf4v6k3j,0.513
Centuries,0.004,https://api.spotify.com/v1/audio-analysis/04aAxqtGp5pv12UXAg4pkq,0.385,228360,0.866,04aAxqtGp5pv12UXAg4pkq,0,4,0.111,-2.817,0,0.0697,176.014,4,https://api.spotify.com/v1/tracks/04aAxqtGp5pv12UXAg4pkq,audio_features,spotify:track:04aAxqtGp5pv12UXAg4pkq,0.551
Changes,0.883,https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO,0.669,121887,0.308,7AFASza1mXqntmGtbxXprO,0,11,0.0984,-10.068,1,0.029,64.934,4,https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO,audio_features,spotify:track:7AFASza1mXqntmGtbxXprO,0.52
Check It Out,0.0844,https://api.spotify.com/v1/audio-analysis/4y8nbF2aSO0D2HZ7ElYPPo,0.878,161412,0.541,4y8nbF2aSO0D2HZ7ElYPPo,5.18e-06,9,0.101,-8.964,0,0.0692,156.016,4,https://api.spotify.com/v1/tracks/4y8nbF2aSO0D2HZ7ElYPPo,audio_features,spotify:track:4y8nbF2aSO0D2HZ7ElYPPo,0.67
Close,0.104,https://api.spotify.com/v1/audio-analysis/3qKCDFZp192KBEEtFj7fDa,0.691,193510,0.736,3qKCDFZp192KBEEtFj7fDa,0,0,0.111,-4.993,1,0.0321,140.034,4,https://api.spotify.com/v1/tracks/3qKCDFZp192KBEEtFj7fDa,audio_features,spotify:track:3qKCDFZp192KBEEtFj7fDa,0.0395
Club Can't Handle Me,0.0205,https://api.spotify.com/v1/audio-analysis/0xcl9XT60Siji6CSG4y6nb,0.623,232616,0.882,0xcl9XT60Siji6CSG4y6nb,0,0,0.194,-2.574,1,0.0322,127.98,4,https://api.spotify.com/v1/tracks/0xcl9XT60Siji6CSG4y6nb,audio_features,spotify:track:0xcl9XT60Siji6CSG4y6nb,0.525
Cold,0.055,https://api.spotify.com/v1/audio-analysis/7zsXy7vlHdItvUSH8EwQss,0.602,185360,0.797,7zsXy7vlHdItvUSH8EwQss,0,6,0.187,-5.084,0,0.0534,92.928,4,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss,audio_features,spotify:track:7zsXy7vlHdItvUSH8EwQss,0.492
Come & Get It,0.000146,https://api.spotify.com/v1/audio-analysis/44M12pkcMqqdbNNooHCZ6C,0.565,181427,0.987,44M12pkcMqqdbNNooHCZ6C,5.81e-06,4,0.392,-4.012,1,0.0698,107.954,4,https://api.spotify.com/v1/tracks/44M12pkcMqqdbNNooHCZ6C,audio_features,spotify:track:44M12pkcMqqdbNNooHCZ6C,0.413
Come Back Song,0.138,https://api.spotify.com/v1/audio-analysis/4sHOAALFZiNa4wukjPSBpq,0.516,235147,0.745,4sHOAALFZiNa4wukjPSBpq,0,9,0.114,-5.674,1,0.0381,177.781,4,https://api.spotify.com/v1/tracks/4sHOAALFZiNa4wukjPSBpq,audio_features,spotify:track:4sHOAALFZiNa4wukjPSBpq,0.77
Come Over,0.637,https://api.spotify.com/v1/audio-analysis/0IF0vGwaJQ8ZCh0QxhW6OV,0.678,233000,0.899,0IF0vGwaJQ8ZCh0QxhW6OV,0,10,0.347,-2.937,1,0.048,124.944,4,https://api.spotify.com/v1/tracks/0IF0vGwaJQ8ZCh0QxhW6OV,audio_features,spotify:track:0IF0vGwaJQ8ZCh0QxhW6OV,0.757
Coming Home,0.216,https://api.spotify.com/v1/audio-analysis/4pWb8UZ6IPVJA3CPjCNgzq,0.383,213939,0.703,4pWb8UZ6IPVJA3CPjCNgzq,5.47e-06,4,0.131,-6.988,1,0.228,88.502,4,https://api.spotify.com/v1/tracks/4pWb8UZ6IPVJA3CPjCNgzq,audio_features,spotify:track:4pWb8UZ6IPVJA3CPjCNgzq,0.57
Controlla,0.0962,https://api.spotify.com/v1/audio-analysis/4CpKEkdGbOJV51cSvx7SoG,0.747,245227,0.477,4CpKEkdGbOJV51cSvx7SoG,0,10,0.114,-11.062,0,0.276,93.44,4,https://api.spotify.com/v1/tracks/4CpKEkdGbOJV51cSvx7SoG,audio_features,spotify:track:4CpKEkdGbOJV51cSvx7SoG,0.321
Cool For The Summer,0.00506,https://api.spotify.com/v1/audio-analysis/2zFF6jG5hQArbzcXz3KUWk,0.584,214740,0.614,2zFF6jG5hQArbzcXz3KUWk,9.7e-05,5,0.0802,-5.587,0,0.0363,114.075,4,https://api.spotify.com/v1/tracks/2zFF6jG5hQArbzcXz3KUWk,audio_features,spotify:track:2zFF6jG5hQArbzcXz3KUWk,0.28
Cop Car,0.167,https://api.spotify.com/v1/audio-analysis/7LJOfS8evyKfP8Fl5rdZXw,0.606,253880,0.585,7LJOfS8evyKfP8Fl5rdZXw,0,0,0.0658,-6.47,1,0.0321,77.01,4,https://api.spotify.com/v1/tracks/7LJOfS8evyKfP8Fl5rdZXw,audio_features,spotify:track:7LJOfS8evyKfP8Fl5rdZXw,0.177
Counting Stars,0.0649,https://api.spotify.com/v1/audio-analysis/6sy3LkhNFjJWlaeSMNwQ62,0.663,257840,0.714,6sy3LkhNFjJWlaeSMNwQ62,0,1,0.116,-4.944,0,0.038,121.99,4,https://api.spotify.com/v1/tracks/6sy3LkhNFjJWlaeSMNwQ62,audio_features,spotify:track:6sy3LkhNFjJWlaeSMNwQ62,0.468
Craving You,0.000899,https://api.spotify.com/v1/audio-analysis/2d48mamATjby7wgPjdrSOQ,0.607,223627,0.841,2d48mamATjby7wgPjdrSOQ,0,9,0.34,-3.772,0,0.0371,104.978,4,https://api.spotify.com/v1/tracks/2d48mamATjby7wgPjdrSOQ,audio_features,spotify:track:2d48mamATjby7wgPjdrSOQ,0.505
Crawl,0.178,https://api.spotify.com/v1/audio-analysis/6vWk151OrbHfKe4D6Z6tdV,0.376,242012,0.723,6vWk151OrbHfKe4D6Z6tdV,0,7,0.0815,-2.951,1,0.046,84.146,4,https://api.spotify.com/v1/tracks/6vWk151OrbHfKe4D6Z6tdV,audio_features,spotify:track:6vWk151OrbHfKe4D6Z6tdV,0.167
Crazy Girl,0.0006,https://api.spotify.com/v1/audio-analysis/1nVLAEzhBXMJLR5zAl90Nl,0.358,200707,0.708,1nVLAEzhBXMJLR5zAl90Nl,0.00498,4,0.281,-3.736,1,0.0315,150.966,3,https://api.spotify.com/v1/tracks/1nVLAEzhBXMJLR5zAl90Nl,audio_features,spotify:track:1nVLAEzhBXMJLR5zAl90Nl,0.227
Crazy Kids,0.0141,https://api.spotify.com/v1/audio-analysis/2Qu4snHWjiF1bIIggf3R8i,0.742,230747,0.706,2Qu4snHWjiF1bIIggf3R8i,0.00568,0,0.133,-4.6,0,0.0433,128.03,4,https://api.spotify.com/v1/tracks/2Qu4snHWjiF1bIIggf3R8i,audio_features,spotify:track:2Qu4snHWjiF1bIIggf3R8i,0.478
DJ Got Us Fallin' In Love,0.03,https://api.spotify.com/v1/audio-analysis/5tXyNhNcsnn7HbcABntOSf,0.666,222160,0.878,5tXyNhNcsnn7HbcABntOSf,0,7,0.0828,-2.85,0,0.0973,119.932,4,https://api.spotify.com/v1/tracks/5tXyNhNcsnn7HbcABntOSf,audio_features,spotify:track:5tXyNhNcsnn7HbcABntOSf,0.669
Dance Again,0.0159,https://api.spotify.com/v1/audio-analysis/4d2hD63oUGU3s7L66JD0BE,0.792,237267,0.856,4d2hD63oUGU3s7L66JD0BE,2.88e-06,11,0.0981,-5.236,0,0.067,127.988,4,https://api.spotify.com/v1/tracks/4d2hD63oUGU3s7L66JD0BE,audio_features,spotify:track:4d2hD63oUGU3s7L66JD0BE,0.714
Dancin' Away With My Heart,0.221,https://api.spotify.com/v1/audio-analysis/06EoiPK0mH3PHxH2BKNAJx,0.572,232973,0.663,06EoiPK0mH3PHxH2BKNAJx,0,4,0.291,-5.418,1,0.0274,140.253,4,https://api.spotify.com/v1/tracks/06EoiPK0mH3PHxH2BKNAJx,audio_features,spotify:track:06EoiPK0mH3PHxH2BKNAJx,0.455
Dangerous Woman,0.0499,https://api.spotify.com/v1/audio-analysis/7l94dyN2hX9c6wWcZQuOGJ,0.672,235947,0.605,7l94dyN2hX9c6wWcZQuOGJ,0,7,0.357,-5.353,1,0.0378,134.015,3,https://api.spotify.com/v1/tracks/7l94dyN2hX9c6wWcZQuOGJ,audio_features,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,0.297
Dark Horse,0.14,https://api.spotify.com/v1/audio-analysis/2mfahQ0EaaZWq4cFNg6A1o,0.634,224627,0.668,2mfahQ0EaaZWq4cFNg6A1o,0,5,0.216,-5.488,1,0.0291,80.989,4,https://api.spotify.com/v1/tracks/2mfahQ0EaaZWq4cFNg6A1o,audio_features,spotify:track:2mfahQ0EaaZWq4cFNg6A1o,0.635
Daylight,0.0976,https://api.spotify.com/v1/audio-analysis/57i3M29DWoo7RDk0Tf0LZG,0.363,171333,0.802,57i3M29DWoo7RDk0Tf0LZG,0.000356,9,0.167,-4.881,1,0.0394,101.31,4,https://api.spotify.com/v1/tracks/57i3M29DWoo7RDk0Tf0LZG,audio_features,spotify:track:57i3M29DWoo7RDk0Tf0LZG,0.65
Diamonds,0.145,https://api.spotify.com/v1/audio-analysis/59fi7eaSe4DuCqfua35m2W,0.621,211085,0.568,59fi7eaSe4DuCqfua35m2W,1.65e-06,2,0.108,-8.795,1,0.0311,148.047,4,https://api.spotify.com/v1/tracks/59fi7eaSe4DuCqfua35m2W,audio_features,spotify:track:59fi7eaSe4DuCqfua35m2W,0.724
Diamonds Dancing,0.157,https://api.spotify.com/v1/audio-analysis/2AGottAzfC8bHzF7kEJ3Wa,0.512,314632,0.366,2AGottAzfC8bHzF7kEJ3Wa,3.54e-05,1,0.111,-10.828,1,0.0469,136.14,4,https://api.spotify.com/v1/tracks/2AGottAzfC8bHzF7kEJ3Wa,audio_features,spotify:track:2AGottAzfC8bHzF7kEJ3Wa,0.18
Die Young,0.00498,https://api.spotify.com/v1/audio-analysis/6mnjcTmK8TewHfyOp3fC9C,0.711,211920,0.7,6mnjcTmK8TewHfyOp3fC9C,0.000125,1,0.215,-4.805,0,0.046,128.001,4,https://api.spotify.com/v1/tracks/6mnjcTmK8TewHfyOp3fC9C,audio_features,spotify:track:6mnjcTmK8TewHfyOp3fC9C,0.801
Dirty Laundry,0.051,https://api.spotify.com/v1/audio-analysis/0qgZvYWLIqDn0tXimF8gPa,0.766,165600,0.64,0qgZvYWLIqDn0tXimF8gPa,0,0,0.237,-8.899,1,0.0345,100.044,4,https://api.spotify.com/v1/tracks/0qgZvYWLIqDn0tXimF8gPa,audio_features,spotify:track:0qgZvYWLIqDn0tXimF8gPa,0.67
Do It Like Me,0.101,https://api.spotify.com/v1/audio-analysis/33TRLeMwVVAWa2eZEGnTip,0.61,195067,0.82,33TRLeMwVVAWa2eZEGnTip,1.78e-06,9,0.212,-5.035,1,0.0332,152.091,4,https://api.spotify.com/v1/tracks/33TRLeMwVVAWa2eZEGnTip,audio_features,spotify:track:33TRLeMwVVAWa2eZEGnTip,0.773
Do You Remember,0.0278,https://api.spotify.com/v1/audio-analysis/7yws3pF3FFguwT2Psi6c15,0.854,210307,0.664,7yws3pF3FFguwT2Psi6c15,0,11,0.118,-4.88,1,0.085,125.84,4,https://api.spotify.com/v1/tracks/7yws3pF3FFguwT2Psi6c15,audio_features,spotify:track:7yws3pF3FFguwT2Psi6c15,0.782
Do You Want To Build A Snowman?,0.85,https://api.spotify.com/v1/audio-analysis/2yi7HZrBOC4bMUSTcs4VK6,0.359,206507,0.121,2yi7HZrBOC4bMUSTcs4VK6,0.00028,3,0.255,-15.512,1,0.0481,146.271,3,https://api.spotify.com/v1/tracks/2yi7HZrBOC4bMUSTcs4VK6,audio_features,spotify:track:2yi7HZrBOC4bMUSTcs4VK6,0.151
Dog Days Are Over,0.059,https://api.spotify.com/v1/audio-analysis/1YLJVmuzeM2YSUkCCaTNUB,0.504,251840,0.812,1YLJVmuzeM2YSUkCCaTNUB,0.000526,7,0.119,-5.316,1,0.0911,150.11,4,https://api.spotify.com/v1/tracks/1YLJVmuzeM2YSUkCCaTNUB,audio_features,spotify:track:1YLJVmuzeM2YSUkCCaTNUB,0.319
Don't Mind,0.621,https://api.spotify.com/v1/audio-analysis/37FXw5QGFN7uwwsLy8uAc0,0.728,217707,0.563,37FXw5QGFN7uwwsLy8uAc0,0,1,0.179,-8.053,0,0.134,100.017,4,https://api.spotify.com/v1/tracks/37FXw5QGFN7uwwsLy8uAc0,audio_features,spotify:track:37FXw5QGFN7uwwsLy8uAc0,0.352
Don't Wanna Know,0.341,https://api.spotify.com/v1/audio-analysis/3PGdPUMdUg7a3Tgr5gkfKK,0.776,214265,0.62,3PGdPUMdUg7a3Tgr5gkfKK,0,7,0.0978,-6.198,1,0.067,100.025,4,https://api.spotify.com/v1/tracks/3PGdPUMdUg7a3Tgr5gkfKK,audio_features,spotify:track:3PGdPUMdUg7a3Tgr5gkfKK,0.427
Don't You Worry Child,0.112,https://api.spotify.com/v1/audio-analysis/2V65y3PX4DkRhy1djlxd9p,0.612,212862,0.84,2V65y3PX4DkRhy1djlxd9p,0,11,0.116,-3.145,0,0.0509,129.042,4,https://api.spotify.com/v1/tracks/2V65y3PX4DkRhy1djlxd9p,audio_features,spotify:track:2V65y3PX4DkRhy1djlxd9p,0.438
Dope,0.0483,https://api.spotify.com/v1/audio-analysis/6dr6QeqH62tYUiPezRbinq,0.619,240021,0.889,6dr6QeqH62tYUiPezRbinq,0,10,0.324,-3.108,0,0.219,77.058,4,https://api.spotify.com/v1/tracks/6dr6QeqH62tYUiPezRbinq,audio_features,spotify:track:6dr6QeqH62tYUiPezRbinq,0.622
Down On Me,0.0436,https://api.spotify.com/v1/audio-analysis/0x3TibRgnSqzkcwrqBd4iX,0.697,228453,0.577,0x3TibRgnSqzkcwrqBd4iX,0,2,0.11,-7.653,1,0.127,160.035,4,https://api.spotify.com/v1/tracks/0x3TibRgnSqzkcwrqBd4iX,audio_features,spotify:track:0x3TibRgnSqzkcwrqBd4iX,0.633
Drive By,0.648,https://api.spotify.com/v1/audio-analysis/1kEINOBYcSCQ5RwkP65g2A,0.415,178587,0.616,1kEINOBYcSCQ5RwkP65g2A,0,1,0.0974,-8.009,0,0.205,128.088,4,https://api.spotify.com/v1/tracks/1kEINOBYcSCQ5RwkP65g2A,audio_features,spotify:track:1kEINOBYcSCQ5RwkP65g2A,0.484
Drunk In Love,0.00969,https://api.spotify.com/v1/audio-analysis/6jG2YzhxptolDzLHTGLt7S,0.589,323480,0.621,6jG2YzhxptolDzLHTGLt7S,0.00104,5,0.181,-6.902,0,0.0468,140.03,4,https://api.spotify.com/v1/tracks/6jG2YzhxptolDzLHTGLt7S,audio_features,spotify:track:6jG2YzhxptolDzLHTGLt7S,0.401
Dynamite,0.00622,https://api.spotify.com/v1/audio-analysis/1DqdF42leyFIzqNDv9CjId,0.75,203867,0.78,1DqdF42leyFIzqNDv9CjId,0,4,0.0263,-3.155,1,0.0898,119.985,4,https://api.spotify.com/v1/tracks/1DqdF42leyFIzqNDv9CjId,audio_features,spotify:track:1DqdF42leyFIzqNDv9CjId,0.824
E.T.,0.186,https://api.spotify.com/v1/audio-analysis/2VdT56BGpdqNHUgOe1j5vc,0.601,206453,0.59,2VdT56BGpdqNHUgOe1j5vc,0,2,0.0942,-5.001,1,0.0569,151.952,4,https://api.spotify.com/v1/tracks/2VdT56BGpdqNHUgOe1j5vc,audio_features,spotify:track:2VdT56BGpdqNHUgOe1j5vc,0.274
Earned It (Fifty Shades Of Grey),0.404,https://api.spotify.com/v1/audio-analysis/2PIvq1pGrUjY007X5y1UpM,0.664,252227,0.371,2PIvq1pGrUjY007X5y1UpM,0,2,0.0971,-5.959,0,0.0306,119.95,3,https://api.spotify.com/v1/tracks/2PIvq1pGrUjY007X5y1UpM,audio_features,spotify:track:2PIvq1pGrUjY007X5y1UpM,0.429
Eenie Meenie,0.0654,https://api.spotify.com/v1/audio-analysis/75vEuMA15pb8JmgrGugHEs,0.717,202627,0.618,75vEuMA15pb8JmgrGugHEs,0,1,0.0978,-4.238,1,0.0325,121.225,4,https://api.spotify.com/v1/tracks/75vEuMA15pb8JmgrGugHEs,audio_features,spotify:track:75vEuMA15pb8JmgrGugHEs,0.786
El Perdon (Forgiveness),0.256,https://api.spotify.com/v1/audio-analysis/7hOfyNuj2dLc0HAEYVDIYS,0.736,206667,0.719,7hOfyNuj2dLc0HAEYVDIYS,0,8,0.0909,-3.839,1,0.0357,90.013,4,https://api.spotify.com/v1/tracks/7hOfyNuj2dLc0HAEYVDIYS,audio_features,spotify:track:7hOfyNuj2dLc0HAEYVDIYS,0.656
Empire State Of Mind,0.739,https://api.spotify.com/v1/audio-analysis/5sra5UY6sD658OabHL3QtI,0.479,216480,0.368,5sra5UY6sD658OabHL3QtI,4.1e-05,6,0.118,-7.784,1,0.0341,92.959,4,https://api.spotify.com/v1/tracks/5sra5UY6sD658OabHL3QtI,audio_features,spotify:track:5sra5UY6sD658OabHL3QtI,0.142
Energy,0.329,https://api.spotify.com/v1/audio-analysis/79XrkTOfV1AqySNjVlygpW,0.743,181933,0.571,79XrkTOfV1AqySNjVlygpW,0,11,0.522,-8.038,1,0.505,172.056,4,https://api.spotify.com/v1/tracks/79XrkTOfV1AqySNjVlygpW,audio_features,spotify:track:79XrkTOfV1AqySNjVlygpW,0.571
Everything Has Changed,0.35,https://api.spotify.com/v1/audio-analysis/4NAmRvqSITAAzKWnC8yRq3,0.629,243933,0.465,4NAmRvqSITAAzKWnC8yRq3,3.16e-06,6,0.334,-6.656,1,0.0289,80.042,4,https://api.spotify.com/v1/tracks/4NAmRvqSITAAzKWnC8yRq3,audio_features,spotify:track:4NAmRvqSITAAzKWnC8yRq3,0.416
Everything Is AWESOME!!!,0.011,https://api.spotify.com/v1/audio-analysis/7ec2JcPaqHI0XqkmS1MIHD,0.698,163423,0.96,7ec2JcPaqHI0XqkmS1MIHD,1.41e-06,8,0.435,-3.595,1,0.142,147.999,4,https://api.spotify.com/v1/tracks/7ec2JcPaqHI0XqkmS1MIHD,audio_features,spotify:track:7ec2JcPaqHI0XqkmS1MIHD,0.738
F**kin Problems,0.00992,https://api.spotify.com/v1/audio-analysis/4NMnT89QVW0HGixLOEnrZZ,0.587,261642,0.562,4NMnT89QVW0HGixLOEnrZZ,0,10,0.135,-8.771,0,0.451,90.994,4,https://api.spotify.com/v1/tracks/4NMnT89QVW0HGixLOEnrZZ,audio_features,spotify:track:4NMnT89QVW0HGixLOEnrZZ,0.452
Fake Love,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.605
False Alarm,0.0288,https://api.spotify.com/v1/audio-analysis/4oeaIftdpT3JuZLcCkKmVE,0.513,220307,0.674,4oeaIftdpT3JuZLcCkKmVE,3.79e-05,8,0.188,-6.483,0,0.0776,174.019,4,https://api.spotify.com/v1/tracks/4oeaIftdpT3JuZLcCkKmVE,audio_features,spotify:track:4oeaIftdpT3JuZLcCkKmVE,0.192
Feds Watching,0.0402,https://api.spotify.com/v1/audio-analysis/3bYdulyFmlRTB7AsHsomVg,0.789,250520,0.869,3bYdulyFmlRTB7AsHsomVg,0,7,0.295,-6.594,1,0.102,139.986,4,https://api.spotify.com/v1/tracks/3bYdulyFmlRTB7AsHsomVg,audio_features,spotify:track:3bYdulyFmlRTB7AsHsomVg,0.752
Feel Again,0.0189,https://api.spotify.com/v1/audio-analysis/75hLNJfiXV5k2YGrbGEW51,0.472,185080,0.824,75hLNJfiXV5k2YGrbGEW51,2.3e-06,7,0.107,-7.937,0,0.0554,140.027,4,https://api.spotify.com/v1/tracks/75hLNJfiXV5k2YGrbGEW51,audio_features,spotify:track:75hLNJfiXV5k2YGrbGEW51,0.301
Feeling Myself,0.453,https://api.spotify.com/v1/audio-analysis/5fyIGoaaKelzdyW8ELhYJZ,0.682,237840,0.707,5fyIGoaaKelzdyW8ELhYJZ,0.00733,2,0.419,-5.611,1,0.207,139.163,4,https://api.spotify.com/v1/tracks/5fyIGoaaKelzdyW8ELhYJZ,audio_features,spotify:track:5fyIGoaaKelzdyW8ELhYJZ,0.439
Feels,0.0642,https://api.spotify.com/v1/audio-analysis/5bcTCxgc7xVfSaMV3RuVke,0.893,223413,0.745,5bcTCxgc7xVfSaMV3RuVke,0,11,0.0943,-3.105,0,0.0571,101.018,4,https://api.spotify.com/v1/tracks/5bcTCxgc7xVfSaMV3RuVke,audio_features,spotify:track:5bcTCxgc7xVfSaMV3RuVke,0.872
Fight Song,0.0549,https://api.spotify.com/v1/audio-analysis/37f4ITSlgPX81ad2EvmVQr,0.564,204013,0.714,37f4ITSlgPX81ad2EvmVQr,0,7,0.155,-4.987,1,0.129,175.924,4,https://api.spotify.com/v1/tracks/37f4ITSlgPX81ad2EvmVQr,audio_features,spotify:track:37f4ITSlgPX81ad2EvmVQr,0.33
Find Your Love,0.0246,https://api.spotify.com/v1/audio-analysis/4BycRneKmOs6MhYG9THsuX,0.623,208947,0.598,4BycRneKmOs6MhYG9THsuX,0,6,0.0324,-5.914,0,0.167,96.081,4,https://api.spotify.com/v1/tracks/4BycRneKmOs6MhYG9THsuX,audio_features,spotify:track:4BycRneKmOs6MhYG9THsuX,0.822
Fine China,0.0475,https://api.spotify.com/v1/audio-analysis/2OVRPlR4BsnwPY7OiIfCQn,0.654,213280,0.739,2OVRPlR4BsnwPY7OiIfCQn,0,10,0.118,-4.762,0,0.0596,104.022,4,https://api.spotify.com/v1/tracks/2OVRPlR4BsnwPY7OiIfCQn,audio_features,spotify:track:2OVRPlR4BsnwPY7OiIfCQn,0.602
Finesse,0.0185,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,0.704,217289,0.859,3Vo4wInECJQuz9BIBMOu8i,0,5,0.0215,-4.877,0,0.0996,105.115,4,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,audio_features,spotify:track:3Vo4wInECJQuz9BIBMOu8i,0.926
Firework,0.139,https://api.spotify.com/v1/audio-analysis/4lCv7b86sLynZbXhfScfm2,0.638,227880,0.826,4lCv7b86sLynZbXhfScfm2,0,8,0.0803,-4.968,1,0.0479,124.072,4,https://api.spotify.com/v1/tracks/4lCv7b86sLynZbXhfScfm2,audio_features,spotify:track:4lCv7b86sLynZbXhfScfm2,0.649
Fix You,0.163,https://api.spotify.com/v1/audio-analysis/7LVHVU3tWfcxj5aiPFEW4Q,0.209,295533,0.418,7LVHVU3tWfcxj5aiPFEW4Q,0.00195,3,0.113,-8.74,1,0.0338,138.265,4,https://api.spotify.com/v1/tracks/7LVHVU3tWfcxj5aiPFEW4Q,audio_features,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,0.123
